,Nationality,Rank,Rank_last_year,Sport,Year,earnings,CODE
0,USA,1.0,5.0,boxing,1990,28.6,None
1,USA,2.0,7.0,boxing,1990,26.0,None
2,USA,3.0,9.0,boxing,1990,13.0,None
3,Brazil,4.0,11.0,Auto Racing,1990,10.0,BRA
4,France,5.0,13.0,Auto Racing,1990,9.0,FRA
5,USA,6.0,15.0,golf,1990,8.6,None
6,Australia,7.0,17.0,golf,1990,8.5,AUS
7,USA,8.0,19.0,basketball,1990,8.1,None
8,USA,8.0,19.0,golf,1990,8.1,None
9,USA,8.0,19.0,boxing,1990,8.1,None
10,USA,1.0,8.0,boxing,1991,60.5,None
11,USA,2.0,1.0,boxing,1991,31.5,None
12,USA,3.0,8.0,basketball,1991,16.0,None
13,USA,4.0,30.0,boxing,1991,14.5,None
14,Brazil,5.0,4.0,Auto Racing,1991,13.0,BRA
15,France,6.0,5.0,Auto Racing,1991,11.0,FRA
16,Canada,7.0,30.0,boxing,1991,10.2,CAN
17,USA,8.0,8.0,golf,1991,9.3,None
18,UK,9.0,12.0,Auto Racing,1991,9.0,None
19,USA,10.0,6.0,golf,1991,8.5,None
20,USA,1.0,3.0,Basketball,1992,35.9,None
21,USA,2.0,1.0,Boxing,1992,28.0,None
22,Brazil,3.0,5.0,Auto Racing,1992,22.0,BRA
23,UK,4.0,9.0,Auto Racing,1992,14.5,None
24,USA,5.0,8.0,Golf,1992,11.1,None
25,USA,6.0,17.0,Tennis,1992,11.0,None
26,USA,7.0,13.0,NFL,1992,9.5,None
27,USA,8.0,10.0,Golf,1992,9.2,None
28,USA,9.0,50.0,Tennis,1992,9.0,None
29,USA,10.0,12.0,Tennis,1992,8.5,None
30,USA,1.0,1.0,Basketball,1993,36.0,None
31,USA,2.0,50.0,Boxing,1993,25.0,None
32,Brazil,3.0,3.0,Auto Racing,1993,18.5,BRA
33,France,4.0,50.0,Auto Racing,1993,16.0,FRA
34,USA,5.0,19.0,Boxing,1993,15.8,None
35,USA,6.0,50.0,NBA,1993,15.2,None
36,USA,7.0,50.0,Boxing,1993,15.0,None
37,USA,8.0,40.0,Baseball,1993,12.7,None
38,USA,9.0,9.0,Tennis,1993,12.6,None
